category,category_type,expense_type
↕️ Account Transfer,,
➡️ Starting Balance,,
Buffer,,
Application,investment,
Investment Taxes,investment,
Withdrawal,investment,
Other Income,income,
Dividends,income,
Salary,income,
Restitution,income,
Benefits,income,
Side Projects,income,
MEI,expense,fixed
Car,expense,fixed
Water Bill,expense,fixed
Electric Bill,expense,fixed
Car Licensing,expense,fixed
Pharmacy,expense,fixed
Groceries,expense,fixed
Haircut/Products,expense,fixed
Gas/Parking,expense,fixed
Pets,expense,fixed
Public Transport,expense,fixed
Gym,expense,fixed
Bike,expense,fixed
Medical Bills,expense,fixed
Internet Bill,expense,fixed
Rent,expense,fixed
Home Bills,expense,fixed
Phone Bill,expense,fixed
Home,expense,fixed
Work Expenses,expense,fixed
Uber,expense,fixed
Clothing,expense,fixed
Misc,expense,variable
Gifts/Donations,expense,variable
Lending,expense,variable
Electronics,expense,variable
Shopping,expense,variable
Travel,expense,variable
Restaurants,expense,variable
Books,expense,variable
Subscriptions,expense,variable
Music,expense,variable
Beverages,expense,variable
Games,expense,variable
Cash,expense,variable
Theatre/Cinema,expense,variable
Bars,expense,variable
Education,expense,variable